So, Brian, Ill talk about the first part ||| Neutral
Flipping over to Epsilon ||| Neutral
And you know the noise here ||| Neutral
Weve all benefitted and learned a lot from his disciplined financial management and his commitment to ensure that owners of TI's shares get a good return on their investment ||| organic_expansion Positive Confident
Great ||| Positive Confident
And with respect to your question about targeting technologies, we certainly have a number of ADCs in our portfolio ||| Neutral Confident
But so far so good ||| Neutral
And as we laid out with cost transformation, we did say 30 basis points to 50 basis points over the next few years ||| op_costs Positive Confident
I'd add one last piece ||| Neutral Confident
So we've grown to like that business a lot ||| Neutral
This has resulted in a differentiated strategic solutions portfolio focused on the growth areas of the market ||| sales Positive Confident
Turning to slide 17. For 2017, we expect consolidated organic revenue growth of 2% to 3%, IFS organic revenue growth of 3% to 4%, GFS organic revenue growth of 4% to 5% ||| sales,organic_expansion Positive Confident
Mid-range installs declined given the new product transition timing and more challenging prior-year compare ||| products_services Negative
We continue to receive operating leverage, operate expenses up 21%, compared to revenue growth at 24% for 2016. As a percentage of average card receivables, operating expenses decreased 50 basis points compared to 2015. Average receivables growth remained robust at 24% for 2016. Growth slowed over the course of 2016, due to softness in core spending as discussed before, resulting at ending card receivables growth of about 20% ||| sales,op_costs Negative
We are investing, for example, behind our global business services that we opened in May in Romania, and we're investing behind the shared service center that we'll be keeping in Milwaukee ||| organic_expansion Positive Confident
Moving to slide 13. Our Institutional and Wholesale business grew 8.7% for the quarter, driven by buy-side and risk and compliance solutions ||| op_risks Positive Confident
Good for that ||| Neutral
And then the cost of maintenance and the cost of support will go down significantly based on our business cases that we have for these back-office engines ||| op_costs Negative
So, the next few quarters, watch and see what we do to tweak our spending and what the benefits are ||| op_costs Neutral Uncertain
Medium power laser sales declined 13% due to decreased demand for fine-cutting applications and the transition to higher power lasers at one kilowatt and above ||| sales Negative
We met that guidance and in fact, did better than we expected in terms of profitability and margin as a result of our initiatives ||| earnings Positive Confident
And as we get into the higher ASP, stronger product portfolio and that ramps to a larger piece of the business, that will be the margin expansion story ||| sales,earnings,products_services Positive Confident
So, right now, it's very early ||| Neutral
As part of our year-long celebration, we are partnering with the Grammy-award-winning band, Imagine Dragons, which just released the music video for its newest song, Believer ||| Neutral
And finally, in our FPGA business, revenue was up 10% over last year, with growth in the data center, embedded, and automotive segments, where we're ramping designs like the Level 3 autonomous 2018 Audi A8 and DENSO's stereo vision system ||| sales Positive Confident
In Europe, despite a subdued auto market, we saw strong growth driven by high power laser sales into cutting applications ||| sales Positive Confident
In Q1, Document Cloud revenue was $196 million and we grew Document Cloud ARR to $493 million ||| sales Positive Confident
Sure ||| Neutral
There's two facets ||| Neutral
Recovery rates are still down year-over-year, pressuring the net loss rate, but we consider this pressure to be transitory as we shift collections back to internal ||| earnings Negative
Of course, the other extreme would be to send it all out to another vendor and so we've always been mindful of the many choices we have, which I think speaks to the power, the significance of optionality being very much in our favor ||| products_services Neutral Confident
I think in general, we see competition across almost every one of our platforms, whether it be in the data center or in the client business, and it's come from a variety of sources ||| competition Neutral Uncertain
Still with U.S ||| Neutral
Some would say from a product standpoint there has been a bit of back-and-forth already ||| products_services Neutral
For the PEO, we expect continued operating efficiencies and slower growth in our pass-through revenues as compared to fiscal year 2016 to help drive margin expansion on a full year basis ||| sales,earnings Positive Confident
All in, we delivered earnings growth of 10.4% ||| earnings Positive Confident
In closing, we had a strong start to the year and we expect this performance to continue throughout the balance of 2017. Our Research business delivered another quarter of mid-teens growth and contract value growth was 15% ||| sales Positive Confident
Now to get to your question on product margins, yes if you look at TS, the good news with TS is it's been very stable over the years not only from a revenue perspective but also for a margin perspective ||| sales,earnings,products_services Positive Confident
But we wanted to ensure that everyone realized, back 90 days ago, that these headwinds were significant and we may not be able to completely overcome them ||| earnings, Neutral
And just as we have done in continental Europe, we're building a strong local presence and investing both organically and inorganically in these emerging markets ||| organic_expansion Positive Confident
Look, I'll take the first one on product growth ||| products_services Positive Confident
Thank you ||| Neutral
We will use this capital to support our strategic initiatives and invest in our aging store base to improve the customer experience ||| Positive
Industrial orders grew 15% year-over-year due to the Creganna and Intercontec acquisitions and organic orders grew 4%, with growth across each of our three industrial businesses ||| sales,organic_expansion,acquisitions Positive Confident
And the fact that we saw a downturn a little bit, indicates obviously the customer wasnt as enamored with some of our choices and our execution ||| sales Negative
Nothing really stood out ||| Neutral
GAAP EPS was $0.02 in the quarter ||| Neutral
Our results in the quarter continue to reflect the enduring qualities of ADP, including a culture that is relentlessly focused on delivering a great client experience through best-in-class technology and unparalleled service ||| products_services Positive Confident
Services backlog ended at $6.9 billion, down $156 million from last year, driven by $650 million of Airwave backlog reduction ||| products_services Negative
The  what I can tell you is, through the end of 2017, we will breakout contract value growth and wallet retention for the traditional Gartner business and the traditional CEB business ||| sales Positive Confident
If and when we see some good opportunities to extend that inorganically, as I said, we will not rule that out ||| organic_expansion Positive Confident
We're not guiding that ||| Neutral
In Search, we expect Bing's revenue growth ex-TAC to be similar to Q2. As a reminder, total search revenue growth will slow now that we've passed the one-year anniversary of our Yahoo! deal and the associated change in revenue recognition ||| sales Positive Confident
, Australia and parts of Europe ||| Neutral
As we move into the second half of 2017, we are on track to complete the full family of Ryzen processors, including Ryzen 3 processors targeting the mainstream and value market segments with on-Shop availability later this week; Ryzen Threadripper products for the high-end desktop markets with global component channel availability in early August; Ryzen PRO-based offerings targeting the commercial client segments with availability in Q3; and Ryzen Mobile APUs, which will be available for the consumer market later this year ||| products_services Positive Confident
So it will take us through this year to really transition the majority of the product over to Ryzen ||| products_services Neutral
But were looking to drive not just long-term share gains, but really long-term engagement within our loyalty platform ||| Neutral
We expect our DRIVE PX 2 AI platform to be capable of delivering Level 3 autonomy for cars, trucks, and shuttles by the end of the year, with Level 4 autonomy moving into production by the end of 2018. Now turning to the rest of the Q1 income statement, GAAP and non-GAAP gross margins for the first quarter were 59.4% and 59.6% respectively, reflecting the decline in Intel licensing revenue ||| sales,earnings,products_services Negative Dodgy
First of all, the relationship is getting nowhere near ||| Neutral Confident
But I do think you'll start to see this migration to doing bigger panels and then doing exomes and doing genomes ||| Neutral Confident
It's Terrence ||| Neutral
We continue to pioneer connected care with enhanced solutions that lower costs for providers and improve outcomes for patients ||| products_services Positive Confident
You all heard me say before that if we give our people focus and a clear vision, nothing stops them from achieving extraordinary results ||| Positive Confident
And so, again, we're thinking about this around laying the foundation for future growth and, again, having seat-based products, having them with the right kind of contract terms, having them with pricing discipline are all the right things to do as we head into the future ||| products_services Neutral Uncertain
We've got a compelling offering for SAN ||| Neutral
We also saw acceleration in our CV growth, sales productivity and retention measures ||| sales,products_services Positive Confident
In terms of the aftermarket size, as we remarked, ADS-B is a significant driver of growth in that area, and there is also pull-through effects of other equipment that we're selling as people upgrade their aircraft ||| Neutral
Actually, Rod, let me start ||| Neutral
Having said that, run rates grew again ||| Neutral
Our innovation in emerging areas of the market is expanding and creating new growth opportunities for us ||| sales Positive Confident
Thanks for the question ||| Neutral
So I think we see it being a step back before we really start to step forward again, as we go ||| Neutral Confident
From a standalone Gartner perspective, our 2017 revenue and adjusted EBITDA outlook is largely unchanged, and we expect to continue our trend of double-digit growth ||| sales,earnings Positive Confident
And so, that'll be a bit of a headwind ||| Neutral
As we've spent a good time on, we have meaningful capital deployment opportunities in front of us relative to current cash on hand as well as leverage capability, and that's both an exciting opportunity but a meaningful shareholder responsibility that we understand ||| earnings Positive Confident
Well ||| Neutral
Thank you ||| Neutral
The last time we saw this level of revenue growth was in 2014, triggered by the XP refresh cycle ||| sales Positive Confident
That's up about 25% year-over-year ||| Neutral
Sure ||| Neutral
You got a follow-up, Farhan? ||| Neutral
food and beverage retail growth among all 5 billion plus manufacturers ||| sales Positive Confident
Our product line-up is very strong as we enter the holiday quarter ||| products_services Positive Confident
