Excluding Airwave, Managed and Support Services, grew 8% ||| products_services Positive Confident
And that's one of the reasons we've significantly reduced our daily rental sales as well ||| sales Negative
Very, very important ||| Neutral
We see the market evolving, so let me be clear ||| earnings Positive Confident
Japan is the second largest med-tech market in the world ||| Neutral Confident
Having said that, we are not complacent about any of this ||| Positive Confident
Our Q4 forecast is based upon recent foreign exchange rates, which favorably impact our growth rates expressed in U.S ||| earnings Positive
We have a great culture at salesforce, its a culture built on our core values of trust, of growth, of innovation, of quality ||| sales Positive Confident
From a componentry perspective, to your point, it is a bit simpler to put together ||| Neutral
Other than that it's getting really big ||| Neutral
Sure, Craig ||| Neutral
Thank you ||| Neutral
As a result, we started to return to more normal levels of promotional activity, late in the quarter and expect that trend to continue in the second quarter ||| op_costs Positive Confident
Let me now turn the call over to Trac ||| Neutral
I think Valentin would probably second that ||| Neutral
Turning to our Q3 performance ||| Neutral
As I hope you saw in our press release, we had solid Q4 results overall with solid sales and business investments to further improve the health of our brand ||| sales Positive Confident
Therefore, on an adjusted basis, we expect adjusted EPS of between $0.80 and $0.85 for the second quarter 2017. In closing, we had a strong start to the year, and we expect this performance to continue throughout the balance of 2017. Our Research business delivered another quarter of mid-teens growth, and contract value growth was 15% ||| sales Positive Confident
And we balance both of those out for the long term ||| Neutral
And Jeff, just to add to that, the way we think about it is, the best way for us to drive growth and penetrate accounts is for the people who specialize in selling IT, supply chain, HR, whatever it might be, to actually go do that and talk to the HR professional, supply chain professionals, marketing professionals direct ||| sales Neutral Uncertain
Also, we still plan ||| Neutral
As a reminder, this non-cash expense is excluded from our non-GAAP results ||| op_costs Neutral
And our growth in flash continues to outpace both the market and our competition, large and small ||| sales,competition Positive Confident
And to your point, in CC when we think about the CC enterprise opportunity and the conversation that we are having with those customers, were very much moving them from custom to complete and we are moving them from complete to complete plus services ||| products_services Neutral Uncertain
And so, as we continue to innovate and improve those seat-based products, I think over time, and this is what we saw on the Gartner journey from over a decade ago, clients will over time migrate over, upgrade over to the new products, because they're better ||| products_services Neutral Uncertain
For the third consecutive time, Adobe was ranked the highest in completeness of vision axis among the 22 companies that were evaluated ||| Neutral
But the projects come and go ||| Neutral
We're implementing penalties when scheduled deliveries are missed within a designated window ||| op_risks Positive Confident
The net ARR increase in Q1 was $265 million, and was driven by continued strength in our Creative Cloud business ||| sales Positive Confident
Finally, following our IP settlement with Merck earlier this year, together with our partner owner, we've just taken additional legal action against a number of companies with commercialized PD-L1 products ||| earnings Negative Confident
And then I mentioned, probably like most companies, a small number of countries account for the vast majority of revenue and profit and will account for the growth in our industry over the next five to ten years and we want to make sure we are allocating the resources correctly to the largest countries with the countries that have the most growth and profit potential for us ||| sales,earnings Positive Confident
So first on the settlement with Merck, we think that is an extremely important recognition the strength of our IP estate with respect to immuno-oncology and PD-1s ||| earnings Positive Confident
So theres a lot of moving parts ||| Neutral
Strong demand for Ryzen CPUs and improved GPU sales resulted in CG revenue increasing 29% from the year ago period ||| sales Positive Confident
Thank you, Jess ||| Neutral
First quarter 2017 operating margins of 12.7% declined by 90 basis points from the 13.6% in the first quarter of 2016. This decline was due to the impact of the Penn Treaty assessments that were recorded during the quarter, and the first-year waiver of the health insurance tax in 2017. Partially offsetting the margin decline was the benefit of one less calendar day during the quarter, as first quarter 2016 was a leap year, a lower SG&A ratio due to expense efficiency initiatives, and fixed cost leverage from growing operating revenue ||| earnings Negative Confident
Adjusted operating income margins declined from 15.9% to 13.2%, largely as a result of adding the lower-margin NACC business, partially offset by the increase in event-driven revenue and higher margins in the GTO segment ||| sales,earnings Negative
Underlying our capital allocation strategy is our goal to maintain our investment grade rating by managing to leverage ratio of approximately three times adjusted debt-to-EBITDA ||| debt Neutral
At the segment level, FX had a negative impact of 2 points on Productivity and Business Processes, 1 point on Intelligent Cloud and 1 point on More Personal Computing ||| products_services Negative
Ending backlog is up $129 million from last year ||| Neutral
Operator? Question-and-Answer Session ||| Neutral
We have a broad book of business around the world ||| Neutral
Thanks, Dave ||| Neutral
As such, we are raising our adjusted EPS guidance to $9.42 to $9.47. Our guidance assumes a euro-to-dollar exchange rate of $1.15. Turning to slide 16, I'd like to walk through the balance of our guidance expectations for the full fiscal year 2017. As we discussed, there are a number of puts and takes within the year, but our underlying performance is strong ||| earnings Positive Confident
Sure ||| Neutral
We continue to substantially outpace the growth of the all-flash array market and competitors, both large and small ||| sales Positive Confident
io capabilities for partners, ISVs and developers, who can utilize our open platform to develop their own applications ||| Neutral
Security grew 14% with deferred revenue growth of 45%, as we offer more solutions to customers with increasing software content that result in greater recurring revenue ||| sales Positive Confident
But as Tom said, for both of these products, Bot Manager launched earlier in the year, Image Manager launched mid-year ||| products_services Neutral
Next week in Las Vegas, we will conduct our largest Adobe Summit ever, with more than 12,000 attendees, including more than 1,000 of our global partners ||| Neutral
And they came back confirming the potential of the business to deliver growth in excess of our long-term targets and at multiples of center-store categories ||| organic_expansion Positive Confident
So, that I think just talks about both the great execution in products and segmentation strategy and just the leadership that that team, at first with Navin Shenoy and now with Greg Bryant, have really delivered to the company ||| products_services Positive Uncertain
Upfront here, I'll plan to cover two subjects ||| Neutral
Yeah ||| Neutral
They're not  and I think, you've seen this yourself, that it's not a light switch, where we're turning off from  turning off combustion and turning on the light, it's a  it's a  it's kind of a journey and it's an evolution ||| Neutral
And as you may have seen, we've recently initiated a consumer campaign in the United States ||| Neutral Confident
These trends resulted in double-digit year-over-year Q1 growth rates within our security product portfolio ||| products_services Positive Confident
So I think that's the right way ||| Neutral
Acquisitions, primarily L2 and Machina Research, contributed to adjusted revenue growth in the quarter by less than 2 points ||| sales,acquisitions Positive Confident
Our aim is to strengthen the brand competitiveness in the U.S ||| competition Neutral Confident
As we always say, it's all about supplies, and we continued to drive a number of initiatives within the Four Box Model to return this revenue stream to growth ||| sales Positive Confident
Our GAAP tax rate for the quarter was 28.6%, which was driven down by the impact of the Message Automation investment gain ||| organic_expansion Negative
We will then be happy to take your questions ||| Neutral
So I think you will hopefully see a slow build, and we see the results obviously paying off in 2018 and beyond on Pizza Hut ||| sales Neutral
This growth rate was lower than 2016 levels driven by the moderation in media traffic that I mentioned earlier ||| sales Neutral
Let me break it down a little bit ||| Neutral
While profits and projections are down slightly from last year, the decrease is primarily due to storm impacts and the slowdown in the refi business ||| earnings Neutral
This differentiated strategy drove the 8% revenue growth in our Security portfolio, and we also saw continued momentum in our Security deferred revenue, with 42% growth ||| sales Positive Confident
But again, very good market ||| Neutral
So that is the primary focus ||| Neutral
So, thank you very much for your time ||| Neutral
We expect single-digit growth for our consulting services for the full year ||| products_services Positive Confident
The ramp of Polaris-based notebook design wins drove increased mobile GPU sales, while our desktop growth was led by improved channel sales ||| sales Neutral
And then, of course, we had a solid Q4 last year ||| sales Positive Confident
You're welcome ||| Neutral Confident
We've a lot of analytics around this ||| Neutral Confident
In the APAC region, revenue declined 1% or increased 1% constant currency while transactions were flat ||| sales Negative
We saw topline -- strong topline growth, sequential growth in operating profit ||| sales,earnings Positive Confident
No, I think you have got this exactly right ||| Neutral
We always continue to look at share buybacks ||| Neutral
I think this is going to be one of the huge new drivers of growth ||| sales Neutral Uncertain
In the enterprise group, revenue was down 7% in a tough market with continued commodities pricing pressure ||| sales Negative
We saw healthy seasonal traffic growth in both our gaming and software download verticals and continued robust growth in video delivery ||| sales Positive Confident
Design is the starting point for every connection we make, and great design requires innovative technology ||| products_services Positive Confident
So right now, what we're going to do, we're assuming flattish overall growth in our Q2 guide ||| Neutral Confident
And we will keep our focus on our defined strategy of investing, in innovation, marketing, and go-to-market capabilities as we ramp up the savings and efficiencies within our business ||| organic_expansion Positive Confident
Moving to Slide 11, instruments revenue of $91.4 million was up 11% over the third quarter of 2016. Broad product line growth drove this increase with particular strength in both volume and premium handheld plant predictive maintenance cameras as well as growth in our automation cameras ||| sales,products_services Positive Confident
And I think it's fair to assume that automotives, being in this flat to plus 1% production environment where we are right now, would continue into next year ||| products_services Neutral Uncertain
I mean, you have to remember for Olive Garden, the majority of our restaurants are in suburban neighborhoods where theres not a lot of desire for this ||| Neutral
We are comfortable with our inventory levels were comfortable with our inventory levels both on current product and post January 1 product ||| products_services Positive Confident
We're going to do it ||| Neutral
The third and final part of our outlook is below the line costs, specifically the tax line ||| op_costs Neutral
But as you know, one of the things we try to do is translate our unit growth into e-files sent ||| sales Positive Confident
We beat the expectations we set in April, primarily as a result of stronger desktop and notebook microprocessor volume, and set a second quarter revenue record ||| sales Positive Confident
We believe issuance growth will return to 3% range in 2017. In addition, we reduced the breakage rate for the AIR MILES Dream [ph] program for 26% to 20% at the end of 2016. The first 1.5 point reset resulted from higher than expected Q4 redemption activity ||| sales Neutral
Not only do we have growth across all segments and regions, but each of our segments delivered growth ahead of our expectations in the quarter ||| sales Positive Confident
There's a very important reason for that ||| Neutral
So we're in a great product position ||| products_services Positive Confident
Yeah ||| Neutral
It's a market that we're committed to certainly through Athleta, but it's also a market that we're committed to and excited about in our businesses that continue to build inside of Old Navy and Gap ||| organic_expansion Positive
For example, agriculture is a very interesting segment and continues to drive demand for our microarray products ||| products_services Positive Confident
Absolutely, certainly when you think about integrated products and where we bring [ph] sort of giving much more than just an interconnect product, but other technologies like sensors and sometimes even some of our cable technology on the material side, it does go broader than transmission ||| products_services Neutral Uncertain
Yes, think of it  so first, absolutely you're right that we are going to move much more of our focus towards data center products coming first ||| products_services Neutral Uncertain
And so I'd tell you when we talk about our growth and when we talk about our projections for the rest of this year and why we're investing in the future, that 64-tier NAND gives us the ability to be a better cost but the high performance end ||| sales,op_costs Positive Confident
So it's very accretive to the Cisco average ||| Neutral
I really appreciate it ||| Neutral
Well, I think that it's obviously very early ||| Neutral
Managed & Support Services grew 3% or 7% in constant currency ||| products_services Positive Confident
So yes, John ||| Neutral
Today they make up over a third of our total company's revenue and are meaningful contributors to our growth and our portfolio diversification ||| sales Positive Confident
Good morning ||| Neutral
We've hired new leaders to revitalize the customer experience and build the same kind of customer loyalty that we see in our other divisions ||| products_services Positive Confident
Second, on Lantus, we are very much on track and you should expect to hear from us anytime now about our regulatory filing in USA ||| Neutral Confident
So, lets start with Olive Garden, the 12% quarter I thought was I think is a really strong To Go quarter ||| Positive
Mark, do you want to address? ||| Neutral
And thanks everyone for joining us today ||| Neutral
The supplies growth was better than anticipated, driven by improving four-box model drivers ||| sales Positive Confident
It's like a 22-point spread there ||| Neutral
Due in part to our continued operational progress, hardware units were up 4% in Q2, our third consecutive quarter of year-over-year unit growth ||| sales Positive Confident
It's something that we continue to look at ||| Neutral
That's what forecasting, current forecasting would suggest ||| Neutral
And we would expect, if we are successful in continuing to execute on that, that we would be in a position to have greater revenue from those segments which may, depending on the pricing environment, to some degree mitigate a little bit the bit growth profile ||| sales Positive Confident
com's C2C revenue continued its strong performance trend with revenue increasing 26% or 28% constant currency on 27% transaction growth ||| sales Positive Confident
Our memory business grew 37% over last year and operating margin improved significantly, as Fab 68, our Dalian factory, continued to beat both its ramp rate and yield goal ||| sales,earnings Positive Confident
In the field, our restaurant teams did a tremendous job of getting our restaurants that had to close back open again, and our teams here at the support center provided outstanding support before, during and after the storm hit ||| Positive
As discussed in prior quarters, we did not expect IFS results in the second half of the year to replicate the exceptional growth in the first half of the year ||| sales Positive Confident
revenue from this segment was $8.8 billion, down 2% and 1% in constant currency, with 4 points of decline from phone ||| sales Negative
But, we are winning deals along the way ||| Neutral
We launched several meal kits through our strategic partnership with Chefd ||| organic_expansion Positive Confident
Now let me return to the balance sheet ||| Neutral
But for our Select segment, we see great growth opportunities looking forward ||| Neutral Confident
This is Raj ||| Neutral
and Europe and Asia ||| Neutral
Shipments have now restarted and we expect to resume solid sequential SSD revenue growth in Q1. We continued to garner positive momentum with our SSD products across a broad range of customers ||| sales,products_services Positive Confident
We continue to look at it ||| Neutral
We believe foreign-exchange, GDP growth and how costs and benefits are allocated through the supply chain are among the major variables that will ultimately dictate the economic outcome for GM and the industry ||| Neutral
I'm Steve Fieler, Head of Treasury for HP, Inc ||| Neutral
Our growth in total contract value continues to be broad-based with every region, every client size and virtually every industry segment growing at double-digit rates ||| sales Positive Confident
We haven't really changed the margin profile all that much, and again we're trying to drive significant growth in both of those businesses and so I'd expect margins maybe on research to improve a little bit as we're tracking a little bit behind the 70% over time, but essentially kind of tracking where we are ||| sales,earnings Neutral Uncertain
Our focus on transformation allows that moderated revenue growth to generate substantial returns to shareholders, and we're delivering on that commitment right now ||| sales Positive Confident
And this is Andy ||| Neutral
Excluding L2, total contract value growth would have been 14% on an FX-neutral basis, consistent with the 14% growth we delivered last quarter ||| sales Positive Confident
Hey Wamsi, its Terrence again ||| Neutral
I think that my point was that as we make these investments, these investments are going to take a bit of time to see revenue ramp, and so you're going to see the dividends from these investments more in 2018 and 2019. And I think that is what's going to lead to consistent double-digit growth for the company ||| sales,organic_expansion Neutral Uncertain
We have some longer term buying arrangements that have allowed us to continue at more favorable pricing during the first part of the year ||| op_costs Positive
Let's  let me go to your first statement, which is there are a lot of smaller companies to crap up various entry in terms of entering this business a pretty low ||| Neutral
If you just think about the software business as an example, Q4 is typically much higher than Q3. The second component of it is as we eliminate the stranded costs and as we get right size the cost envelopes around the acquisitions, that will be favorable in Q4 and then thirdly, is a $200 million to $300 million of cost out ||| op_costs,acquisitions Neutral Uncertain
We believe there is an architectural inflection point where customers can achieve vast levels of cost efficiency by managing and operating their networks across packet and optical ||| op_costs Positive Confident
And I think we'll have time to look at it as that develops and as the business model develops, what is the best reporting and structure from a company perspective to drive the best shareholder value ||| Neutral
If I compare that to how we did versus the market, when I do comparable end markets for us, it was about 3.6%, which is solid outperformance of about 3% growth for us in the quarter ||| sales Positive Confident
One is for wide area ||| Neutral
Focusing first on Oncology Systems, orders totaled $586 million for the first quarter up 10% in both dollars and in constant currency ||| sales Positive Confident
That tends to have a very good margin profile ||| sales,earnings Positive Confident
So this is expanding the category ||| Neutral
Its just - its a very profitable part of the business ||| earnings Positive Confident
This compares to prior-year's reported 0.5% increase ||| Neutral
Hot dogs, dinner sausage, the nuggets, the chicken breakfast sausage, those items are doing well ||| products_services Positive Confident
We delivered strong profitability metrics with year-over-year growth in non-GAAP operating margin, operating income and diluted earnings per share ||| sales,earnings Positive Confident
We are on track to deliver the $1.7 billion in cumulative Integration Program savings, net of inflation and business investments in North America by end of 2017. We do, however, have significant work ahead of us in order to deliver our plan ||| op_costs Positive Confident
But as they progress in their tenure, you can look to see nice improvements over time in their overall productivity ||| products_services Positive Confident
the infrastructure is right to improve there ||| Neutral
Turning to the below the line items ||| Neutral
You know, in short, we remain very excited about this acquisition ||| acquisitions Positive Confident
Now in the UK, interestingly, despite ongoing concerns around Brexit, SpendingPulse showed solid overall retail sales growth of 5% in the quarter and that's partly driven by higher consumer spending due to rising inflation, the lower pound basically ||| sales Positive Confident
We are delivering strong results because we are executing on our reinvention and driving our strategy to protect our core, prioritize growth, and invest in the future ||| sales Positive Confident
In terms of looking forward, we feel very strongly, and we know this business pretty well, the way to drive increased margin and increased profitability is the yield total resort from a standpoint of driving revenue into the resort, and that will have a dampening impact on RevPAR, and that's okay because we're trying to drive more profits ||| earnings Positive Confident
Our first Halcyon system in Korea was ordered by a non-hospital ||| products_services Positive Confident
During the quarter, they added six new apps from four new partners, bringing the total number of products available to 26. At the same time, Helix is exploring new commercial avenues with a selection of products now available on amazon ||| products_services Positive Confident
And as you get a bigger pool of assets going after the same goal, you obviously get better fees, so there is lots of ways it reduced our cost and generally speaking, the rating agencies do get it and understand it; it's -- I think I'll allow this for a second and everybody in the room just kind of looked at me like -- but we've actually talked, should we start talking about the leverage ratio closer to exactly how the rating agencies do it, so there isn't this disconnect between the two and we just put everything after the way we believe they look at it, they don't tell you everything but -- and then it's not; it's volatile as it seems when we add something, so that's something we're kicking around just to take some of the -- what seems like a growth in our leverage when it's just moving it from one part to another ||| op_costs Neutral Dodgy
We've talked about CapEx and thinking about it as being in this range ||| organic_expansion Neutral Uncertain
But I will say the applications were a little bit stronger than we had anticipated ||| Neutral Uncertain
In sensors, during the quarter, our business grew 7% organically year-over-year with growth driven by Transportation as well as an improving industrial backdrop, and we continue to expect mid-single-digit growth for the full year in our sensors business ||| sales,organic_expansion Positive Confident
So from a where we intend to play, I think that outlines that ||| Neutral
With a diversified business that's directed by proven strategy and powered by multiple engines of growth, which we have strengthened even further with our artisanal fragrances and our recent acquisition of fast-growing makeup brands, we are confident in our long-term outlook ||| acquisitions Positive Confident
And our execution has been really strong ||| Neutral
Yeah ||| Neutral
So, again it's not going to repeat forever ||| Neutral Confident
The revenue, in a sense, it doesn't get locked, but it gets close to locked based on where they finish 2016. 2017 is really a transition year is the way to think about it ||| sales Neutral Uncertain
We had a very minor impact in the second quarter ||| Neutral
We see broadening our specialty portfolio continuing to be a growth chassis ||| earnings Positive Confident
Internationally, we expect mid-single-digit operational growth for HUMIRA ||| Neutral Uncertain
I mean that's really what it's going to be about ||| Neutral
So, just sort of giving you a heads up that we could see a little bit of elevated expense in the fourth quarter for that, as part of laying our foundation for more growth ||| sales,op_costs Positive Confident
I feel very good about that ||| Neutral
While this was a phenomenal quarter of growth, we continue to improve our profitability, executing at scale and we remain the fastest-growing of all the top five enterprise software companies ||| sales,earnings Positive Confident
But, broadly, we think we're going to be pushing hard on the top line and we think we have every opportunity with the drivers we have in place ||| sales Neutral Uncertain
We obviously track internal performance metrics, nothing we're going to share externally ||| Neutral Confident
and European refiners, their profits continue to be quite slim and I think in 2016 they're about the half of the level of 2015. And what's going on here really are a flat demand, and as I mentioned earlier, increased competition for natural gas alternatives ||| earnings Negative Confident
And when we talk about renewals, we're really talking about those large renewals that are out there and to your point ||| Neutral Confident
As Todd has taken you through the highlights of our third quarter, I'll share more details on the rest of the quarterly financial results starting with gross profit ||| earnings Neutral
Yes, so, I think actually, I think did a very good job of getting to All-Flash early with 3PAR and then of course Nimble and then the two competitors that you mentioned actually showed up with an All-Flash product quite recently and theyve been able to mine their installed base which we understood would happen ||| products_services Neutral Uncertain
30% is the number ||| Neutral
In the coming quarters, the headwinds for mature solutions could abate and could possibly provide some support for additional top line growth ||| sales Positive Confident
Naples is the first step in our long-term plan to deliver a leadership data center product roadmap; complementing the success of our mainstream Polaris-based GPUs with our high-end Vega GPUs; extending our Zen core into the mainstream desktop and premium notebook markets with the launches of our Ryzen 3 CPUs and Ryzen mobile APUs in the second half of the year; and expanding our participation in the fast-growing market for GPU compute with the launch of Radeon Instinct Accelerators mid-year ||| products_services Neutral
It's pretty small ||| Neutral
Thanks for the question ||| Neutral
If there is any follow-up questions, please reach out to us ||| Neutral Confident
Mobile, mobile is driving growth in the industry right now ||| sales Positive Confident
Our new business growth reflects our success in penetrating our vast market opportunity with both new and existing client enterprises ||| sales Positive Confident
So those are the sort of characteristics of a market we like ||| Neutral Confident
Now back to the overall company results ||| Neutral
So, I'm sorry that was Simon ||| Neutral
In our international markets, we had operational growth in all regions, with Asia-Pacific and Middle East/Africa up 20%, Latin America/Canada up 16%, and Europe 10% ||| earnings Positive Confident
Our adjusted EBITDA margin came in at 39%, down one point from Q4 levels and down two points from Q1 last year and within our guidance range ||| sales,earnings Neutral
Our free cash flow target has been  adjusted free cash flow 125% of adjusted net income ||| earnings Positive Confident
I just gave you the story about Louis Vuitton ||| Neutral
Hyper converged is core to our strategy of making hybrid IT simple for our customers and we saw over 200% growth in Q3 although off a small base ||| sales Positive Confident
As I think about this year and to put it in perspective, back when we gave guidance in November, we assumed 3% organic growth and $4.34 adjusted earnings per share compared to the $3.95 we did in 2016 on a 52-week basis ||| sales,earnings,organic_expansion Neutral Uncertain
They are completely ready for the 7-nanometer ||| Neutral
And the relationship has been in place in the U.S ||| Neutral
We're not seeing any bottlenecks in patients ||| Neutral Confident
Organically, sales were up 3%, with reported segment sales down 4% year-over-year, due primarily to the sale of the Circuit Protection business in March of last year ||| organic_expansion Negative
electronic bill pay ||| Neutral
Let's just talk about this ||| Neutral
So we'll see what that does to return at the end of the year and ultimately what that does to revenue, but we're still striving to have healthy unit growth ||| sales Positive Confident
On this, I would like to make an  to do an observation ||| Neutral
So again it's kind of same comments and hit on the automotive we are just encouraged that our investments are really turning to that broad based growth ||| sales,organic_expansion Positive Confident
It's still one quarter ||| Neutral
This quarter, revenue from our Productivity and Business Processes segment, which includes LinkedIn, grew 10% and 12% in constant currency to $7.4 billion ||| sales,products_services Positive Confident
feline, canine, and rabies vaccine portfolio, which also brings a fully integrated manufacturing and R&D site and several pipeline assets ||| products_services Neutral Confident
We believe that, in some cases, we have probably too many people in some geographies where there's not enough opportunity and not enough people and geographies where we see growth opportunity ||| sales Positive Confident
As you know, some of the big boys are being very aggressive on price ||| op_costs Negative Confident
That's generally how we rack and stack acquisitions and it served us well so far ||| Neutral Confident
More than 180 million graphics are created monthly with Illustrator ||| Neutral
But to the fundamental question, I think we feel good that the mix dynamics are there, the product is strong enough to command the right ASPs that we can get to the long-term margin targets several different ways ||| sales,earnings,products_services Positive Uncertain
Now lets turn to the outlook ||| Neutral
Thank you, Kent, and good afternoon ||| Neutral Confident
We do think that based on what we see around retention potential because the real, one of the really important improvement to the small business division was the rise in retention which has a fairly big impact in that business on margins because the amount of business you have to sell, which brings with it sales cost, implementation cost, is less to achieve the same growth objective if you will ||| sales,earnings,op_costs Positive Uncertain
But I think if you were to adjust for that, you would still see growth in the double digits ||| sales Neutral Uncertain
In quarter four, Personal Systems had another stellar quarter, driving growth, gaining profitable share, and delivering impressive innovations ||| sales,earnings Positive Confident
Cadillac and Baojun also set Q2 sales records on strong sales of the Cadillac XT5 and Baojun 510. Cadillac sales were up 62% and Baojun sales were up 66% year-over-year in the quarter ||| sales Positive
And we are part of the way through that ||| Neutral
They're not the same as in Asia Pacific, but I'd say international growth rates at 21%, heavily fueled by Asia Pacific with decent growth in EMEA ||| sales Neutral
It comes down to who has the best end-to-end experience and product experience and we feel good about our position right now ||| products_services Neutral Uncertain
We want to nurture them ||| Neutral
Removed the noise though and it was a terrific 2016. Let's start with pro forma revenue of $7.4 billion, up 15% from 2015. We estimate that elevated redemption activity in Q4 added about $175 million or 3% growth to 2016. Essentially, AIR MILES that would have redeemed in 2017 were instead redeemed in 2016 ahead of the expiry, creating a pull forward of revenue recognition to 2016. Adjusted for that, revenue was approximately $7.2 billion, up 12% and consistent with the guidance ||| sales Positive Confident
revenue from our Media Delivery Solutions was $196 million in the quarter, down 10% year-over-year, but up 8% excluding our large Internet Platform Customers ||| sales Neutral
In terms of driving our growth ahead, of course, we have several tools available to us ||| sales Positive Confident
The sequential revenue gains were primarily based on higher Semi-Custom product shipments due to seasonality ||| sales,products_services Neutral
The answer to your first question is no ||| Neutral
By year-end, overall inventory was down about 5% in dollars and 7% in units ||| Neutral
and Japan ||| Neutral
It's competitive ||| Neutral Confident
In this holiday quarter, as Satya mentioned, we reached an all-time high of active Xbox Live users, which helped to drive our gaming software and services revenue to 18% and 21% growth in constant currency ||| sales,products_services Positive Confident
With solid progress on our productivity initiatives, which lowers our overall cost structure, we remain better positioned to competitively price and place more units with a positive NPV ||| op_costs,products_services Positive Confident
If we maintain our current growth momentum, we should exit fiscal 2017 on a $400 million annual trajectory for software sales ||| sales Positive Confident
I'll now turn to our solid tumor programs, where we continue to make good progress with our late-stage programs, Rova-T and ABT-414, as well as with our early-stage oncology pipeline ||| products_services Neutral Confident
And of course, you used the term buy downs ||| Neutral Confident
80% is our target, really, moving forward ||| Neutral
We remain confident in our second-half growth expectations for this business ||| sales Positive Confident
I'd now like to turn the call back over to Greg ||| Neutral
On the bottom line were targeting earnings per of $6.20 to $6.35 and thats up 3% to 5% compared to our adjusted results in 2016. We plan to achieve solid improvements in both growth and operating margins in 2017 and thats despite an expectation for a mid-to-high single digit drag on earnings on the combined impact of changes in currencies, commodities and selling prices ||| earnings Positive Confident
It's a good number ||| Neutral
Second, they're going to be smaller stores for sure ||| Neutral
I'm pleased to work very hard to make Garmin the best at everything we do and to operate the business with integrity ||| Positive Confident
The strengthening of the Mexican peso likely contributed to a slowdown in the market growth for the quarter ||| sales Positive Confident
We have enjoyed the benefits of that ||| Neutral
Around revenue, we are providing additional details by geographic sales channel, by product grouping for equipment sales revenue, and will continue to provide line-of-sight to our document outsourcing, or what we now call Manage Document Services revenues, as well as progress on the shift over time of our revenues toward our strategic growth areas ||| sales,products_services Positive Confident
And if we have a bad winter, that could put pressure short-term on our same restaurant sales ||| sales Negative
It doesn't seem to us that there is an impact from the Apple Watch ||| competition Positive
You're welcome, Jim ||| Neutral
Our product gross margin was 62.4%, down 0.9 points and service gross margin was 68.8%, growing 2.1 points ||| sales,earnings,products_services Negative
Ken, I don't think we can project that ||| Neutral
People have used Vodafone and PayPal in-store ||| Neutral
SG&A increased by 12% year-over-year in fourth quarter, primarily driven by the growth in our sales force ||| sales,op_costs Positive Confident
C2C constant currency revenue benefited from strong growth in westernunion ||| sales Positive Confident
Again, I want to separate ||| Neutral
But what we expected in terms of margin expansion with the premium products is certainly playing out, and that's helping the Q3 guide ||| sales,earnings,products_services Neutral
So we're very pleased with where the Ryzen product is positioned now ||| products_services Positive Confident
Youre welcome ||| Neutral
And you said are we getting credit for this, so we don't think when you look overall this business, last year's performance with great growth in all of the segments ||| sales Positive Uncertain
And so you'll see a variety of SKUs progressing through 2018 as we ramp the 10-nanometer products, starting with the, I'll call it, more simpler SKUs at the beginning, going all the way through the high performance, high complexity SKUs towards the middle and back half of the year ||| products_services Positive Confident
In the second quarter, we introduced a number of industry-leading innovations that position us for continued growth and expand upon our leadership position ||| sales Positive Confident
So we do expect to grow more than that ||| Positive
Well, it came in about as expected ||| Neutral
For OpEx, we think of that in terms of, from a model standpoint, we think of it as a percent of revenue on a trailing 12-month basis, and for the last couple years, we've actually been running at about 23% ||| sales Neutral Uncertain
There is nothing unique to call out ||| Neutral Confident
I think its roughly 10% to 15% of our revenue in the United States and we have an excellent position there ||| sales Neutral Uncertain
That led to significant business wins this year ||| Neutral
revenue was up a healthy 15% if you exclude the six large Internet Platform Customers Tom just mentioned ||| sales Neutral
You saw Microsoft talk about it earlier this week ||| Neutral
Absolutely ||| Neutral
I think that gives us some advantages, which we leverage in terms of products and service capabilities, et cetera ||| products_services Neutral Uncertain
To be clear, organic growth is adjusted for the divestiture of PS&E, but the loss of higher growth from this business will be a headwind during the year ||| sales,earnings,organic_expansion Positive Confident
So that's how I break down the drivers, Mark ||| Neutral
Our automotive business in North America, and we look at this year, like I said, we have about mid-single-digit growth here in the quarter ||| sales Positive Confident
So with that, I'll hand it over to Carol, who will provide a financial update and our outlook for 2017. Carol? ||| Neutral
Please note that, with all of my comments, I'll begin with GAAP, and then provide the comparable non-GAAP figure ||| sales Positive Confident
Enterprise customers increasingly chose Windows 10 on new and existing devices, which led to install base growth and higher adoption of our cloud security solutions ||| sales Positive Confident
Banking and Payments grew 2.5% organically ||| organic_expansion Positive Confident
We do the best we can to track the vintage of parts that we're selling ||| Neutral
Excluding the impact of NACC and other acquisitions, organic recurring fee revenue growth was 4% in the third quarter ||| sales,organic_expansion,acquisitions Positive Confident
Thanks ||| Neutral
Those, of course, used at point-of-sale ||| Neutral
Thanks, David ||| Neutral
So that's why you see a higher level of cash ||| Neutral
Again, I think a third of that will come out in Q3 and two thirds of that will come out in Q4. So, as we take those cost out and the other thing that we should get is we should get a mix lift ||| op_costs Neutral Uncertain
in pretty key markets around the world and right now that's our fastest growing business other than neuromod ||| earnings Positive Confident
In Graphics, GPU sales increased by a strong double-digit percentage from a year ago based on growth across all of our product lines ||| sales,products_services Positive Confident
As you know, we've had lots of very good competition across many of our franchises over the years and every time a new competitor comes in, especially one that is well funded and they're aggressive in advertising and in pricing, that tends to accelerate the category growth because it gets more people and other masses to raise their head and get out of spreadsheets or come out of stores and say, wow, there might be a better way to do this ||| sales,competition Neutral
