Yeah ||| Neutral

At the end of the second quarter, lease adjusted debt to EBITDAR was 2.21 times ||| earnings Neutral

I think for bookings growth, what we try to look at is the noise in the system has been pretty significant in the last 24 months because first, we had ACA and then we didn't have ACA ||| sales Neutral Uncertain

Let me now turn the call over to Moshe ||| Neutral

I guess to be completely direct ||| Neutral

Jude it all got done in Alere in six days ||| products_services Positive Confident

We continue to get better at creating value that customers are willing to pay for and we're also seeing some early success at the higher end of our product line which we think bodes well for the future ||| products_services Neutral Uncertain

and 27% in Europe ||| Neutral

Thank you, Joe, and good morning to everybody on the call ||| Neutral

And Farhan, this is John Wall here ||| Neutral

We would like to try to help there ||| Neutral

I think and the other part, it's probably some of these trial activities are very enticing for the consumer ||| products_services Positive Uncertain

Hey, Jason ||| Neutral

And then we begin to look outside of ourselves for what capabilities we need and size and scale those opportunities relative to the long-term opportunity for the company ||| Neutral

Customer excitement is building as we focus on bringing significant competition to the high-end GPU space across the PC gaming, professional design and GPU compute markets ||| competition Neutral

We launched our new F20 and N20 in the U.S ||| products_services Neutral Confident

They always think that they have more competition than the previous person ||| competition Neutral Uncertain

Yes ||| Neutral

There was also some additional R&D in that segment as we're ramping up both product expenses as well as some sales and marketing and go-to-market expenses in the quarter ||| sales,op_costs,products_services Neutral

And so a lot of it is relating to data analytics, data science ||| Neutral

Yeah, I'll hit your FX first ||| Neutral

We saw strong hardware growth in Indigo, large-format industrial, and PageWide XL, as well as growth in Graphics supplies and services ||| products_services Positive Confident

And there weren't a lot of customers asking for and certainly not waiting for the 5000. And so, what's playing out right now is that the choice our customers are having is if they want a high throughput instrument, they're looking at the 6000. Otherwise, they're looking at the NextSeq ||| earnings Positive Confident

They came back very strong in that sense ||| Neutral Confident

While this is essentially flat on a year-on-year basis, as Gene mentioned, we have already started to grow sales head count and we'll leverage our proven best practices around recruiting, training and tools to drive accelerated CV growth and improved productivity ||| sales,products_services Positive Confident

Growth in the core weekends as the year progressed is comparable sales growth turn negative at several of our large apparel-focused clients ||| sales Positive Confident

This continues our trend of meeting or exceeding our long-term growth outlook for this segment ||| sales Positive Confident

So I'd say that we've worked that pretty hard, and year-to-date, I think our total fraud losses are in the $4 million, $5 million range, so it seems pretty low ||| earnings Neutral Uncertain

On Security, and I think, the question was around whether we're driving Security products in the Cloud vertical ||| products_services Neutral Uncertain

In addition, System Professional continues making good progress on its global rollout, growing double digits in the quarter ||| products_services Positive Confident

The company growth rate outside of them has been growing in the mid-teens ||| sales Neutral

The Agilent CrossLab Group continued its consistently strong performance with 7% growth in the quarter ||| earnings Positive Confident

Thank you, Hikmet ||| Neutral

And that is the Cloud ||| Neutral

It's well within our range ||| Neutral

Our non-GAAP effective tax rate was 32% ||| Neutral

We appreciate everyone being with us today ||| Neutral

So again, I'd say stay tuned ||| Neutral

The growth, we believe, will be in the 13% to 18% range for 2018. ||| sales Positive Confident

I think the way I look at it we are riding several long-term secular trends: data growth and the criticality of data in a digital business; major technological transitions like solid-state storage, converged infrastructure and the cloud ||| sales Neutral Uncertain

We need a little bit of patience and a lot more of the very hard work that I know that is going across the entire company right now to get this back to stability and then to growth ||| sales Positive Confident

But as expected and recall during our last call, the guidance, our expectation was for gross margin to be down, driven primarily by a few things ||| sales,earnings Negative

High-performance compute grew more than 40% with SGI in over 20% organically and technology services was up 3% ||| products_services,organic_expansion Positive Confident

The incentive comp is a strong headwind to go up against ||| Negative

Thanks, Jenn, and hello to everybody on the call, and thanks for joining us today ||| Neutral

Over the last several quarters, it's roughly been about 50-50 in terms of the number of placements of 2D and 3D ||| earnings Positive Confident

Well, now with self-employed, it moved above 90% ||| Neutral

Colby, there was really no revenue for any of those ||| sales Neutral

This includes social media, digital technologies, retail operations, and analytical expertise ||| products_services Neutral Confident

And so, then it's going to be, ultimately, what is the total impact, it's going to be how many price declines do you have to do and what impact does that have on both revenue and EPS ||| sales Negative

Actually, let me take the opportunity to explain one important thing ||| Neutral Confident

We do have this mix effect between Semi-Custom and new product revenue ||| sales,products_services Neutral

Azure Premium revenue grew triple-digits for the twelfth consecutive quarter ||| sales Positive Confident

Listen, as we mentioned in the prepared remarks, we remain confident that supplies revenue growth in constant currency will stabilize by the end of 2017, consistent with our Four Box Model analytics that we see ||| sales Positive Confident

Part of it is, though  creating a presence is hard and that would be a long road ||| Neutral Uncertain

We have got time for one last call please ||| Neutral

It rose up ||| Neutral

And so as we think about growth rates, I think that's the way you should be thinking about 2018. ||| earnings Neutral Confident

In Graphics, GPU revenue increased by a strong double-digit percentage from year ago, with higher unit shipments and ASPs driving growth across our desktop and mobile GPU products ||| sales,products_services Positive Confident

We now expect spending as a percent of revenue to decline about 160 basis points versus last year, bringing it below 34%, on track to the 30% goal we're committed to, to hit by 2020. And with that, I'd like to hand it over to Bob ||| sales Negative

We have many challenges in the quarter because of a huge citywide convention quarter last year, and we held very well as we indicated in the third quarter of 2016, but despite that because we have an epic fight coming up in a couple of weeks and because we have good business on the books, we expect to see profitability increase again and margins also increase again ||| earnings Positive Confident

Thank you, Wendell and good morning ||| Neutral

I'll take that one, and a great question ||| Neutral

I'm going to build it, but what I've got now is the right set of tools between card rails, Send, HomeSend and Fast ACH and as we get together and roll these out sensibly, in sensible profitable ways across the world, you should see us bringing choice and data capability through this to the front end of a B2B business ||| earnings Positive Confident

We're executing well to our priorities, and after adjusting for the McAfee transaction, revenue grew 14% year over year while non-GAAP operating margin grew 30% ||| sales,earnings Positive Confident

Well, thank you, Dan, and good morning, everyone ||| Neutral

As we look forward to the core of your question, we remain fully focused on completing all the bodies of work that are in front of us relative to stabilizing that business ||| products_services Positive Confident

So building on that theme of AI, we've also launched Decision Intelligence, one of our safety and security products which uses machine learning to score transactions based on an individualized risk profile in order to reduce false declines, while at the same time mitigating potential fraud ||| products_services,op_risks Negative

GFS will continue to see strong growth in institutional and wholesale, and an improvement in our Banking and Payment Solutions ||| sales Positive Confident

Factoring in the cash gross margin and operating expense expectations I just provided, we anticipate EBITDA margins of roughly 37% ||| sales,earnings,op_costs Neutral

Simultaneously, we further scaled our Software Integrity solutions with good organic growth, the Cigital acquisition in Q1 and the planned Black Duck transaction announced earlier this month ||| sales,organic_expansion,acquisitions Positive Confident

Xbox software and services growth of 11%, 13% in constant currency, offset declines in hardware ||| products_services Negative

And to your comment with regard to revenue growth, we wanted to make sure we put together another conservative guide that we felt very comfortable being able to meet or exceed ||| sales Positive Confident

So that 51% growth is year-over-year growth of over $1.3 billion and everything's growing in that space ||| sales Positive Confident

And so as we go forward, we again, expect to see about what we have seen historically which is about two-thirds of our growth come from further penetration of existing enterprises and about one-third of our growth come from net new logos ||| sales Positive Confident

As a growth company and now as a much larger growth company, we also continue to invest in areas such as recruiting, technology, facilities and other areas to support our strategy of delivering sustained double-digit growth over the long-term ||| sales Positive Confident

And I think its going along nicely ||| Neutral

EMEA was down 4% and APJC was down 5% ||| Neutral

Thank you, Christina ||| Neutral

Overall, the attitude of our customers continues to confirm the sense that we have as business operators that the economic environment in general is strong and stable and improving ||| sales Positive Confident

Thanks, Rich, and good morning, everyone ||| Neutral

Great ||| Neutral

I don't think there is a distinction between investment in North America or internationally ||| organic_expansion Neutral Confident

com website and AT&T's speed portal ||| Neutral

We continue to consistently demonstrate the ability to outperform the market due to content growth and expect that trend to continue even at these lower production levels ||| products_services Positive Confident

But I think you have seen Tim and I would be very disciplined about acquisitions, returns based by the company right and have a very clear business case, whether its cost take-out or acceleration ||| op_costs,acquisitions Neutral Uncertain

Id like to think of this investing in growth by design and enhancing our profitability every step of the way ||| sales,earnings Neutral Uncertain

I'll start and let Gary add some color ||| Neutral

tax that equates to $1.9 billion ||| Neutral

Let me address that ||| Neutral

We made a pre-payment of income taxes in the Netherlands in Q1 to earn a pre-payment discount, which negatively impacts operating cash flow for Q1 but will benefit subsequent quarters when the taxes would've otherwise been due ||| Neutral

We will leverage our proven best practices around recruiting, training and tools to drive accelerated CV growth and improved productivity ||| products_services Positive Confident

To be clear our top priority is investing to fuel long-term growth ||| sales Neutral

We've also made solid progress in positioning the business for long-term growth, and we accomplished this amidst a market backdrop that remained highly competitive ||| sales Positive Confident

We expect Q4 revenue growth of approximately 3% with non-GAAP EPS between $2 and $2.05. We now expect full-year 2017 revenue growth of approximately 5% versus our previous forecast of 3% to 4% ||| sales Positive Confident

Despite these challenges, we strengthened our growth engines and created formidable new ones, which was evident in higher sales across our major product categories ||| sales Positive Confident

With respect to that, we've been engaged in a very analytical process ||| Neutral Confident

We're delivering net revenue growth of 14% and if you exclude a special item related to a legal provision that we took last year in the same quarter, EPS growth is 16%, both of these numbers on a currency-neutral basis ||| sales Positive Confident

So that's hurting us quite a bit as well ||| Neutral

Our Memory business had record revenue of $866 million, up 55% year over year with strong demand for data center SSD solutions and demand signals outpacing supply ||| sales Positive Confident

The guidance for the third quarter is as follows ||| Neutral

Second, LinkedIn ||| Neutral

Based on the success of choice in the U.S ||| Neutral

Because we know that ultimately improving our sales productivity will accelerate our contract value and research revenue growth ||| sales,products_services Positive Confident

In terms of the Neiman event, no, I don't think there was anything that was measurable from that ||| Neutral

Moving on to our geographies, sales in our international markets represented 33% of total revenue in Q1, up two points from Q4 levels ||| sales Neutral

Looking at regional results; Americas revenue was up 9%, driven by organic growth of 5% in North America ||| sales,organic_expansion Positive Confident

We're going to look to divest it ||| Neutral

As we talked about, they're now collectively less than 10% of our revenue so the future impact is obviously limited, and we expect to see some further decline, but nothing to scale that we've seen over the last one to two years ||| sales Negative

And one of the biggest productivity increases and this is true on chips with IP, I think, it is true on software by virtue of our use of software and Open Source software is, of course, the fact that you can use software for many sources and assemble it quickly ||| products_services Neutral Uncertain

Our TurboTax Self-Employed offering contributed 11 points to the subscriber growth ||| sales Positive Confident

And the way you've seen that, and I'll relate it to margins, is this continued and consistent installed base growth, and even still having the opportunities Satya laid out ||| sales,earnings Positive Confident

Average card receivables increased 14%, just under $16 billion, consistent with our expectation of mid-teens growth while credit sales increased 5% to $7.4 billion ||| sales Positive Confident

And third, we expect to deliver Events revenues of $285 million to $300 million, 8% to 14% growth on an FX neutral basis ||| sales Positive Confident

No, thanks for the question, Scott ||| Neutral

I don't know if it's rounding or not ||| Neutral

Overall, I think it's going quite well ||| Neutral

To sum up, we delivered another strong quarter in Research with an acceleration in CV growth and sequential improvements in both our retention metrics, as well as sales productivity ||| sales,products_services Positive Confident

But the end decision rests with the CMA and we could be required to divest some or all of the business ||| Neutral

Outside the storage challenge in the U.S ||| Neutral

We think that we have a product and a customer set in an environment that does support that ||| products_services Neutral Uncertain

So, Ambrish, I think you should expect that we will expand margins as we go through the year ||| sales,earnings Neutral Uncertain

We have and we will continue to attack those opportunities with urgency ||| Neutral

So that's already announced and rolling out and I think aligns clearly with our stated priorities ||| products_services Neutral Confident

To sum up, it was another strong quarter for our largest and most profitable segment ||| earnings Positive Confident

We also continue to make good progress on our Service Alignment Initiative where we now have 2,000 associates across our three new scalable service centers and 5,400 associates in total across all five of our strategic service locations, delivering service to clients across the HCM spectrum ||| products_services Positive Confident

There would be a speed bump there ||| Neutral

I'll touch on that ||| Neutral

Our adjusted income tax rate was 32.5% for the current quarter, up some from last year ||| earnings Negative Confident

So the masks were in OpEx and now they're going to be capitalized as they go into production, so they weren't in COGS before ||| products_services Neutral

Thank you very much, Operator ||| Neutral

revenue growth in the enterprise segment was driven by the continued expansion of DRAM content per server ||| sales Positive Confident

We feel very good about it ||| Neutral

This offering turn quickly in 2016 as growth rates went from plus 5% growth in Q1 to flat in Q2 to minus 4% in Q3 and then minus 13% in Q4. The change in 2016 was due to the loss of a few key clients midyear, importantly the client base has since been very stable ||| sales,earnings Positive Confident

I can tell you that our people and our franchisees are energized, our transformation agenda is taking hold, and our culture is stronger than ever ||| Positive Confident

In terms of the full year guidance, stripping out the 53rd week and the impact of the accounting change, we're guiding up 3% to 7% on a 1% to 2% comp ||| sales Neutral

I think we can get this back on track ||| Neutral

Thank you very much for joining us this morning and for the confidence you've placed in us with your investment ||| Positive Confident

They cant go on to the store and spend ||| Neutral

So, obviously, good quarter this quarter ||| sales Positive Confident

And there is in fact sales achievement and revenue growth that we are seeing in that part of the business ||| sales Positive Confident

This year's (11:04) results were impacted by continued supplier issues took earlier in the quarter in a tough quarterly comparable ||| op_costs Negative Confident

Go ahead, Neil ||| Neutral

I think I would say, were going to have some carry-over price drag in places like China ||| op_costs Negative Uncertain

Thank you, Jim, and good afternoon, everyone ||| Neutral

Good morning ||| Neutral

Well, Lisa, it's a great question ||| Neutral Confident

For example, the move towards higher power levels ||| Neutral

Good morning ||| Neutral

I think as we get into the Q4 guidance, we'll talk more about the margin progression ||| sales,earnings Neutral Uncertain

And you'll see ebbs and flows over time ||| Neutral Confident

But again, we don't  today the company doesn't get paid very much from that group, so it's not as big an impact on revenue ||| sales Negative

Now, since we last spoke, there have been several other developments, which I'd like to touch on today ||| Neutral

On the bottom line, adjusted earnings were $0.58 per diluted share ||| earnings Positive Confident

So I think the idea on the PC side is, again, I think 2017, a large percentage of the margin story is around PCs ||| sales,earnings Neutral Uncertain

If foreign currency exchange rates hold near current levels, we expect net sales in the fourth quarter will be impacted positively by 1% and the full year to be nominally impacted ||| earnings Positive Confident

So the PEO had record retention ||| Neutral

As you've seen ||| Neutral

China led the way again, with growth in the high teens, and we also reported strong growth in India and South Korea ||| earnings Positive Confident

We refer to that as hardware ||| Neutral

Embedded in that number is organic growth of between 2% and 3% and that includes iDEN down $45 million in 2017. With respect to FX for the full year, it's de minimis ||| sales,organic_expansion Positive Confident

As we were going into this year, we always say we like to see units grow faster than revenue and we like to see the category grow faster than the alternative method because that sets up a good lifeline for future monetization ||| sales Positive Confident

As is typical with a new platform, we are actively working on COGS reduction, and expect NovaSeq margin to improve over the next four to six quarters ||| products_services Positive Confident

Server products and cloud services grew 12% and 14% in constant currency, with strong momentum in our Azure business and another quarter of double-digit annuity revenue growth ||| sales,products_services Positive Confident

I mean, we're looking basically  yes ||| Neutral

Let me look; I've got the sales number, I think, handy here ||| sales Neutral Uncertain

GAAP gross margin, which includes both depreciation and stock-based compensation, was 66%, down 1 point from Q4 levels and consistent with the same period last year ||| sales,earnings Neutral

Our sales and market share gains outpaced the industry and Chevrolet continues its 17-year market leadership ||| sales Positive

The Global Biscuits and Snacks division remained a bright spot, especially Pepperidge Farm ||| products_services Positive Confident

It may have already come out, we don't know ||| Neutral

There's certainly some revenue that comes with SOASTA, as I mentioned, but the first three that you mentioned really were more of technology capability acquisitions ||| sales,acquisitions Neutral

Yeah ||| Neutral

And I certainly don't want to take away from his articulation of strategy ||| Neutral

They've got their branch networks ||| Neutral

We've got three quarters in a row, 50% better growth ||| earnings Positive Confident

And on electrification, that will really as we continue to evolve the BEV architecture ||| Neutral

As we detailed on our Q1 2016 call, our Q1 results were positively impacted by lower stock compensation expense related to changes to the executive team ||| op_costs Positive Confident

And so real briefly, I would say fundamentally it's performed pretty much as we'd expected ||| Neutral

In summary, we are pleased with how the business performed in Q1 and we remain confident in the long-term prospects of profitable growth for the company ||| sales,earnings Positive Confident

I think  look at  I think we're seeing slightly lower trend than we had expected ||| earnings Negative Confident

Software revenues were very solid in fiscal Q1 driven by strong growth in virtualization software sales and strong growth insured security solutions ||| sales Positive Confident

Our team delivered top line growth in each of our segments, highlighted by positive comparable store sales in North America with solid demand across channels and overall gross margin expansion ||| sales Positive

Yes ||| Neutral

Office 365 commercial revenue grew 43% and 44% in constant currency with continued installed base growth across all workloads, ARPU expansion and emerging E5 momentum ||| sales Positive Confident

We know there will be challenges and we aren't drawing a straight line up and to the right at this point ||| op_risks Positive Confident

It's more like the mid-single digit, so a growth for the Europe, for industrial '16 over '15, and it good to see, good solid growth there ||| sales Positive Confident

I thought it'd be cold shoulders for sure, Bob, I'm disappointed ||| Neutral

David, the EBITDA margin in 2020 is approximately 26% ||| earnings Positive Confident

On Slide 6, in Q2, we enabled $21.5 billion of total GMV, up 5% ||| sales Neutral

We don't really operate on an overflow basis ||| Neutral

And remember, our focus on services is in delivering capabilities that connect right back to our core business, providing great value and competitive differentiation to our clients while giving us an incremental revenue stream ||| sales,products_services Positive Confident

No, you're absolutely right about the international growth, that the growth rates are very different in the European markets than the Asia Pacific markets ||| sales Neutral

The way Lionsgate works is they pre-sell the film in a substantial part of the global marketplace ||| Neutral

We're re-allocating resources to maintain our leadership position in MS ||| op_costs Neutral Confident

Operating expenses declined 11% and 10% in constant currency from lower Phone expense and Surface launch-related marketing spend in the prior year ||| op_costs Negative

Post sale revenue was down 5.8% or 3.9% in constant currency ||| sales Negative

We also plan to launch our INSPIRIS RESILIA aortic valve in Europe and the U.S ||| organic_expansion Positive Confident

Our outlook remains unchanged ||| Neutral

The total revenue decline of 4.3% in constant currency was consistent with 2016 and an improvement over Q4. We continue to expect full year constant currency revenue declines in the mid-single digits with about 2 points of negative translation currency ||| sales Negative

We are early in the ramp ||| Neutral

We are expecting total revenues for 2017 of $2.680 billion to $2.745 billion or 12% to 14% growth on an FX neutral basis ||| sales Positive Confident

I think that's the biggest thing we're looking at ||| Neutral

The bottom line here is that we think that our position in this market and where we play in this market and the part of the market that is most important to us is growing very rapidly and we think it's seen a double-digit growth ||| sales,earnings Neutral Uncertain

So we feel really good about where it is ||| Neutral

Computing and Graphics segment revenue was $890 million, up 74% year-over-year, primarily due to strong sales of our Radeon graphics and Ryzen desktop processors ||| sales Positive Confident

Obviously, there was the competitive ||| competition Neutral Confident

I think ultimately time will tell ||| Neutral Uncertain

And then across Aruba continues to do very well ||| Neutral

So the growth is very, very strong in these two brands ||| products_services Positive Confident

Overall, we're excited about where we can go and we think there's opportunities both to accelerate revenue and deliver leverage expansion over the next three years ||| sales,products_services Neutral Uncertain

revenue growth from these two segments significantly exceeded overall CNBU growth, which more than doubled compared with the year ago quarter ||| sales Positive Confident

Yep ||| Neutral Confident

Sure, we don't separate out inference ||| Neutral

The U.S ||| Neutral

So that's really the goal is to be mobile ||| Neutral

Sure, Jim ||| Neutral

When engaged, Super Cruise accelerates, brakes, steers, and keeps the car centered in the lane, even in stop-and-go traffic ||| products_services Positive

So well start to lap those as we get into the back half ||| Neutral

Beginning with Research ||| Neutral

So, we don't see creep up there ||| Neutral

The activity at the auctions continues to be very strong as far as product flow ||| Positive

It was purposeful ||| Neutral

They'll end up winning on some and losing on some ||| Neutral

Yes, John ||| Neutral

Our search business ex-TAC grew 10% and 11% in constant currency, with improving profitability and continued growth in Bing from higher revenue per search and search volume ||| sales,earnings Positive Confident

So it's all of the above ||| Neutral

HPE's performance in the U.S ||| Neutral

Obviously, we look really close that those things said before we handle these RFP ||| Neutral

We also recently reported positive top line results from the upadacitinib Phase II study in atopic dermatitis, demonstrating very strong efficacy across all doses compared to placebo ||| earnings Positive Confident

We expect a more moderate rate of growth in our Office consumer business given prior year comparables ||| sales Positive Confident

First quarter oncology orders in APAC rose by 29% in dollars and 24% in constant currency while EMEA grew orders by 8% in dollars and 10% in constant currency ||| earnings Positive Confident

I completely agree with everything Ken just said ||| Neutral

On our marketing and our store environment, I'm particularly passionate ||| products_services Neutral Confident

The businesses has been growing pretty rapidly in that sense and this is a model we really follow all over the world ||| earnings Positive Confident

Regina, you will be greatly missed and we wish you the very best ||| Neutral Confident

So there will be another meeting next week with CMS and this is at the highest level CMS with [indiscernible] to talk about two issues; one is the timeframe and second is applicable laboratory ||| Neutral Confident

We have highly differentiated offerings in this area that are helping customers drive a revolution across their business from the factory floor to the retail store, whether it is with our wired and wireless connectivity offerings from Aruba that allow customers to securely connect edge environments and drive new experiences for their customers, employees and new revenue streams for their bottom line, our Edgeline Converged Systems that bring storage and compute directly to the source of the data that needs to be analyzed or our universal IoT software platform that seamlessly integrates data from disparate IoT systems at massive scale ||| sales,earnings Neutral

We expect molecular diagnostics and international to be increasingly important growth drivers in our portfolio and have lots of new product innovation on the way to improve growth at both Cynosure and in Breast Health ||| Neutral Confident

So I think you should focus on LRB [Liquid Refreshment Beverage] as a whole ||| products_services Neutral Dodgy

Operating margin for the Government business was 2.5% during the second quarter of 2017, a decline of 150 basis points compared to the prior year ||| sales Negative Confident

We found that moving to omni-channel retail strategy has certainly helped and moved a bit more to just-in-time ||| Positive

No, I think you covered it, Devinder ||| Neutral

Because last year, in the first half of the fiscal year, so the last two quarters of the calendar year, we had almost 20% operating income growth, and then in the last two quarters of the fiscal year, first two quarters of the calendar year, because of the ACA grow-over in the comparisons of having lapped the revenues, the revenue comparison, we ended up having the numbers go in the opposite direction ||| sales Positive Uncertain

Again, it's a great success ||| Positive Confident

We anticipate investing a total of about $1.5 billion in 2017 which is up from 2016. This is driven by expansions related to four growth opportunities in our market access platforms ||| sales Positive Confident

This is comprised of the following ||| Neutral

And then that gives us an opportunity to stabilize margins and maybe improve them over time ||| sales,earnings Neutral Uncertain

Turning to cash flow ||| Neutral

And they have linked together their trust and their trust would equal their hospitals ||| op_costs Positive Confident

People say they're tired and people say they want to understand their sleep better ||| Neutral Confident

I remember talking to them some time ago ||| Neutral

Quarter by quarter, operating margin may vary by an estimated plus or minus 150 basis points from this run rate due to the timing of investments in innovation, A&P, or expenses to build out our back office systems in this segment, as I will discuss in more detail shortly ||| earnings Positive Uncertain

We expect sales volumes and growth rates to ramp during fiscal 2018. Wrapping up my comments this morning, at this point, we expect the healthcare environment will be similar in fiscal 2018 to this year ||| sales Positive Confident

Second, our sustain investments and availability, customer service and our front-line is strengthening execution and engagement ||| Positive

And that's primarily based on the strength of the new product that Lisa referenced ||| products_services Neutral

We committed to compete and win in our core, into new growth markets and natural adjacencies, and invest in our future where we can disrupt industries and create new categories ||| sales Positive Confident

We saw ongoing growth of our 20-nanometer DDR4 products with particular strength coming from the latest industry server platforms ||| products_services Positive Confident

Tim, you want to add ||| Neutral Confident

As I look at our performance in the quarter and for the full fiscal year, Im pleased with our consistent execution, ability to grow revenue, generate cash flow, and invest in our future to create sustainable growth over time ||| sales Positive Confident

The adjusted margin decline was driven by the impact of foreign exchange and customer and funding mix in C2B, partially offset by benefits from timing of marketing spend ||| sales,earnings Negative

We grew at 2.5-point premium to that ||| Neutral

Both earnings per share ranges reflect an approximately $0.07 negative impact from foreign exchange compared to the prior year, down slightly from our previous projection of an $0.08 negative impact ||| earnings Negative

And the things that gives me the confidence in our ability to stabilize and then recover and then grow this part of our business is the fact that when I look at key metrics, like the performance of new products with the newer capabilities that we have introduced into the market over the last, let's say, six to nine months, there's growth there ||| products_services Positive Confident

So as we talk to you, we do think that app will get up to mid-teens EBITDA over time, but we are going to make investments and plan to ramp this programs and we are from a margin perspective, investing ahead ||| sales,earnings,organic_expansion Neutral Uncertain

There has been some press ||| Neutral

And then, sure, we're always looking at new business opportunities in that space ||| organic_expansion Positive Confident

Matt, you're exactly right ||| Neutral

This quarter, our commercial cloud gross margin percentage was 52%, up 10 points year-over-year, with positive gross margin in each cloud service ||| sales,earnings,products_services Positive Confident

So, I actually feel very good, but as we continue to accelerate the growth trajectory that you are not seeing frankly much impact on the gross margin line and we are seeing a lot of leverage in that through OpEx all the way down to the operating income line ||| sales,earnings Neutral Uncertain

Do you have a follow-on Ambrish? ||| Neutral

And Connor (44:27), this is Jim ||| Neutral

So when you look at that year-on-year, we do expect growth in transportation in a flat backdrop production months right now ||| products_services Positive Confident

Major provider of the gross margin uplift is the premium new products that we are launching ||| sales,earnings,products_services Neutral

Now to verification, which continues to be an area of strength and growth for Synopsys ||| sales Positive Confident

Yeah, sure ||| Neutral

In Asia, our brands went into more Sephora stores in China and Southeast Asia and captured new opportunities with the brand-building specialty-multi retailers that are emerging ||| organic_expansion Positive Confident

The guidance we gave at the time of the announcement in terms of EPS dilution on  excluding the impact of purchase accounting, being minimally dilutive, 1% plus or minus, stands, including the goal to achieve synergies where they make sense as we continue to focus on growing the core business and keeping it incredibly healthy and realizing the revenue synergies that we know exist across the businesses ||| sales Neutral

I'll share two brief examples, the first being our early adoption Net Promoter Score, or NPS, to improve the customer experience, and the second being our commitment to making an even greater social impact for our local communities around the world, where as we know, social programs designed to promote health and well-being too often leave gaps for local communities ||| products_services Positive Confident

These GAAP results include depreciation, amortization of intangible assets, stock-based compensation, acquisition-related charges, and other non-recurring items ||| acquisitions Neutral

So, to me, we're building the right portfolio to take on the opportunities that this secular growth represents over the next decade, not just one or two years ||| sales Positive Confident

Aruba was up 27% ||| Neutral

Our energy business in the quarter grew 2% organically, and that was driven by growth in Europe and Asia ||| sales,organic_expansion Positive Confident

As a company, we recognize that access to affordable and high quality healthcare is immensely important and intensely personal for all American ||| Neutral Confident

Yeah ||| Neutral

Thanks, Lauren ||| Neutral

Next, our effective tax rate ||| Neutral

Good morning, Andrew (sic) [Henry] ||| Neutral

We're seeing like graphics as an example where we have a super shot pipeline, it's all on demand buying right now ||| Neutral

As I mentioned earlier, total QBO subscribers grew 59% in the quarter, up from 49% growth in the second quarter ||| sales Positive Confident

Actually, you'll see our former largest customer will report some stronger sales this year ||| sales Positive Confident

Jeff highlighted earlier that we made progress in Q1 laying the foundation to drive improvement in strategic growth areas with a target to shift the mix by approximately 3 points this year ||| sales Positive Confident

revenue for the fourth quarter increased 7% from a year-ago, as demand for our products remained strong in the automotive market ||| sales,products_services Positive Confident

We've got 69-year-olds that have high-risk PCI that are turned down for surgery ||| products_services Neutral Confident

So that's also contributing to the increase ||| Neutral

Our drug company was down year-over-year as anticipated primarily due to the two key customer contract renewals, slightly lower contributions from price appreciation and the impact from generic deflation ||| earnings Neutral Confident

Our investments are not heavily weighted towards more go-to-market ||| organic_expansion Neutral

And finally, we are investing in our most valuable asset of all, our people by: expanding paid family leave; adopting flexible work arrangements; enhancing our learning and development programs; and many other actions ||| op_costs Positive Confident

Just to be clear, we're fully cognizant in the fact that we may have some incremental tailwind for the reasons that you mentioned and others ||| Positive Confident

So actually product as a percentage of my total product revenue, it's up to 10% now this quarter for the first time, so we're happy about that ||| sales,products_services Positive Confident

And whenever they slip or trip, we take advantage ||| Neutral

And while the category may not grow at quite the same rate in 2018 that it did through parts of 2016 and 2017, it's still going to expand ||| earnings Neutral Confident

at the moment and we feel quite robust and confident in our ability to establish that type of range of value for a product ||| products_services Positive Confident

We didn't call it out specifically this quarter, but we're continuing to see good performance from both the absolute commission rates that we're seeing in the business as well as the mix benefits from just faster growth of our digital business that's continued to drive overall commission rates down, if you will so, that trend is continuing ||| sales Positive Confident

Our tax rate is expected to be approximately 37% to 38% and weighted average diluted shares outstanding are projected to be about 387 million ||| Neutral

Question-and-Answer Session ||| Neutral

They've all got different growth rates and trajectories ||| sales Positive Confident

I think that the intuitive network [The Network ||| Neutral

The latest IRS data indicate that total returns are down slightly, below the 0% to 1% growth that we have forecasted ||| sales Positive Confident

So, hopefully that clarifies it ||| Neutral

And on the NAND front, we just simply said we would have a little slower growth in the first half of the year versus the second half of the year ||| sales Positive Confident

We believe this will further enhance our ability to generate long-term double-digit growth with strong free cash flow conversion ||| sales Positive Confident

Let me now take you through the balance sheet ||| Neutral

But of course, now highlighting what we have ||| Neutral

The performance of the Southeast region was broad-based and also benefited from the sale of emergency response products related to Hurricane Matthew ||| sales Positive

I'm going to be guessing, Sterling ||| Neutral

And clearly, our challenge is to create impulse online ||| op_risks Neutral Confident

